time,theta_x,theta_y,theta_z,omega_x,omega_y,omega_z
0.307822000,-0.17515,-0.10343,0.04332,-0.86813,-0.31082,0.26941
0.310471000,-0.17745,-0.10425,0.04403,-0.86813,-0.31082,0.26941
0.313125000,-0.17975,-0.10507,0.04475,-0.86813,-0.31082,0.26941
0.315779000,-0.18206,-0.10578,0.04553,-0.86813,-0.26707,0.29566
0.318432000,-0.18271,-0.10649,0.04631,-0.24688,-0.26707,0.29566
0.321080000,-0.18337,-0.10720,0.04710,-0.24688,-0.26707,0.29566
0.323731000,-0.18402,-0.10791,0.04788,-0.24688,-0.26707,0.29566
0.326419000,-0.18468,-0.10778,0.04877,-0.24688,0.04793,0.33066
0.329072000,-0.18810,-0.10765,0.04965,-1.28813,0.04793,0.33066
0.331723000,-0.19151,-0.10752,0.05052,-1.28813,0.04793,0.33066
0.334376000,-0.19493,-0.10740,0.05140,-1.28813,0.04793,0.33066
0.337032000,-0.19835,-0.10745,0.05149,-1.28813,-0.02207,0.03316
0.339772000,-0.20195,-0.10751,0.05158,-1.31438,-0.02207,0.03316
0.342421000,-0.20543,-0.10757,0.05167,-1.31438,-0.02207,0.03316
0.345069000,-0.20891,-0.10763,0.05175,-1.31438,-0.02207,0.03316
0.347726000,-0.21649,-0.10885,0.05465,-2.85438,-0.45957,1.09191
0.350380000,-0.22406,-0.11007,0.05755,-2.85438,-0.45957,1.09191
0.353028000,-0.23162,-0.11129,0.06044,-2.85438,-0.45957,1.09191
0.355679000,-0.23918,-0.11251,0.06333,-2.85438,-0.45957,1.09191
0.358332000,-0.24548,-0.11291,0.06618,-2.37313,-0.15332,1.07441
0.360982000,-0.25176,-0.11332,0.06903,-2.37313,-0.15332,1.07441
0.363634000,-0.25805,-0.11373,0.07188,-2.37313,-0.15332,1.07441
0.366294000,-0.26436,-0.11413,0.07474,-2.37313,-0.15332,1.07441
0.368954000,-0.27254,-0.11361,0.07901,-3.07313,0.19668,1.60816
0.371607000,-0.28068,-0.11309,0.08327,-3.07313,0.19668,1.60816
0.374260000,-0.28884,-0.11257,0.08754,-3.07313,0.19668,1.60816
0.376916000,-0.29700,-0.11204,0.09181,-3.07313,0.19668,1.60816
0.379570000,-0.29387,-0.11278,0.08872,1.17937,-0.27582,-1.16559
0.382225000,-0.29074,-0.11351,0.08563,1.17937,-0.27582,-1.16559
0.384879000,-0.28761,-0.11424,0.08253,1.17937,-0.27582,-1.16559
0.387473000,-0.28455,-0.11495,0.07951,1.17937,-0.27582,-1.16559
0.390030000,-0.28391,-0.11676,0.08083,0.25187,-0.70457,0.51441
0.392584000,-0.28326,-0.11856,0.08214,0.25187,-0.70457,0.51441
0.395138000,-0.28262,-0.12035,0.08345,0.25187,-0.70457,0.51441
0.397797000,-0.28195,-0.12223,0.08482,0.25187,-0.70457,0.51441
0.400457000,-0.28557,-0.12124,0.08281,-1.35813,0.37168,-0.75434
